name,url,currentVersion,crownUpdateDate
alphagov/govuk-design-system,https://github.com/alphagov/govuk-design-system,5.4.0,2024-02-05T15:52:42Z
alphagov/govuk-prototype-kit,https://github.com/alphagov/govuk-prototype-kit,5.2.0,undefined
UKHSA-Internal/coronavirus-dashboard,https://github.com/UKHSA-Internal/coronavirus-dashboard,3.14.0,N/A
co-cddo/api-catalogue,https://github.com/co-cddo/api-catalogue,4.7.0,N/A
alphagov/govuk_publishing_components,https://github.com/alphagov/govuk_publishing_components,4.8.0,2024-02-05T15:42:55Z
x-govuk/govuk-eleventy-plugin,https://github.com/x-govuk/govuk-eleventy-plugin,5.4.0,2024-02-05T16:58:47Z
uktrade/data-workspace-frontend,https://github.com/uktrade/data-workspace-frontend,3.14,undefined
DEFRA/digital-form-builder,https://github.com/DEFRA/digital-form-builder,2.3.0,N/A
ministryofjustice/record-a-goose-sighting,https://github.com/ministryofjustice/record-a-goose-sighting,3.0.0,N/A
alphagov/notifications-admin,https://github.com/alphagov/notifications-admin,4.8.0,undefined
ONSdigital/sdg-indicators,https://github.com/ONSdigital/sdg-indicators,3.12.0,N/A
department-for-transport-BODS/bods,https://github.com/department-for-transport-BODS/bods,4.7.0,N/A
alphagov/govuk-frontend-docs,https://github.com/alphagov/govuk-frontend-docs,5.4.0,undefined
DFE-Digital/apply-for-teacher-training,https://github.com/DFE-Digital/apply-for-teacher-training,5.4.0,2024-02-19T16:24:11Z
dwp/govuk-casa,https://github.com/dwp/govuk-casa,5.4.0,2024-02-05T15:50:47Z
ministryofjustice/moj-frontend,https://github.com/ministryofjustice/moj-frontend,5.1.0,2024-02-15T11:57:33Z
DFE-Digital/govuk-rails-boilerplate,https://github.com/DFE-Digital/govuk-rails-boilerplate,3.12.0,N/A
ministryofjustice/Claim-for-Crown-Court-Defence,https://github.com/ministryofjustice/Claim-for-Crown-Court-Defence,5.4.0,2024-03-04T12:04:53Z
DFE-Digital/teaching-vacancies,https://github.com/DFE-Digital/teaching-vacancies,5.3.1,2024-01-24T11:42:54Z
x-govuk/govuk-services-list,https://github.com/x-govuk/govuk-services-list,5.2.0,2024-03-27T07:06:50Z
alphagov/pay-selfservice,https://github.com/alphagov/pay-selfservice,4.8.0,2024-02-19T12:41:12Z
alphagov/gds-nodejs-boilerplate,https://github.com/alphagov/gds-nodejs-boilerplate,2.13.0,N/A
alphagov/paas-admin,https://github.com/alphagov/paas-admin,5.3.0,2024-02-08T10:26:18Z
uktrade/tamato,https://github.com/uktrade/tamato,3.15.0,undefined
dvsa/front-end,https://github.com/dvsa/front-end,3.15.0,2024-02-19T11:56:31Z
uktrade/great-cms,https://github.com/uktrade/great-cms,4.5.0,N/A
UKHomeOfficeForms/hof,https://github.com/UKHomeOfficeForms/hof,3.15.0,2024-02-29T12:53:03Z
dwp/design-system,https://github.com/dwp/design-system,4.2.0,N/A
alphagov/tech-docs-gem,https://github.com/alphagov/tech-docs-gem,4.7.0,N/A
alphagov/miller-columns-element,https://github.com/alphagov/miller-columns-element,5.3.1,2023-12-11T03:26:24Z
ministryofjustice/laa-apply-for-legal-aid,https://github.com/ministryofjustice/laa-apply-for-legal-aid,5.4.0,2024-02-20T07:32:17Z
DFE-Digital/get-into-teaching-app,https://github.com/DFE-Digital/get-into-teaching-app,5.4.0,2024-02-26T11:55:34Z
alphagov/forms-admin,https://github.com/alphagov/forms-admin,5.4.0,2024-02-14T15:45:02Z
DFE-Digital/claim-additional-payments-for-teaching,https://github.com/DFE-Digital/claim-additional-payments-for-teaching,5.3.1,undefined
hmcts/rpx-xui-webapp,https://github.com/hmcts/rpx-xui-webapp,3.14.0,N/A
hmcts/cmc-citizen-frontend,https://github.com/hmcts/cmc-citizen-frontend,4.8.0,undefined
hmcts/sscs-submit-your-appeal,https://github.com/hmcts/sscs-submit-your-appeal,4.7.0,N/A
ministryofjustice/moj-design-system,https://github.com/ministryofjustice/moj-design-system,3.11.0,N/A
DFE-Digital/register-trainee-teachers,https://github.com/DFE-Digital/register-trainee-teachers,5.4.0,2024-01-11T15:45:27Z
ministryofjustice/cookie-compliance-for-wordpress,https://github.com/ministryofjustice/cookie-compliance-for-wordpress,5.2.0,2023-12-18T15:41:35Z
alphagov/pay-toolbox,https://github.com/alphagov/pay-toolbox,4.8.0,2024-03-01T16:47:32Z
DFE-Digital/publish-teacher-training,https://github.com/DFE-Digital/publish-teacher-training,5.2.0,undefined
ministryofjustice/help-with-prison-visits-external,https://github.com/ministryofjustice/help-with-prison-visits-external,4.8.0,undefined
alphagov/product-page-example,https://github.com/alphagov/product-page-example,3.0.0,N/A
Crown-Commercial-Service/digitalmarketplace-supplier-frontend,https://github.com/Crown-Commercial-Service/digitalmarketplace-supplier-frontend,2.13.0,N/A
alphagov/pay-frontend,https://github.com/alphagov/pay-frontend,4.8.0,2024-02-29T14:52:14Z
ministryofjustice/correspondence_tool_staff,https://github.com/ministryofjustice/correspondence_tool_staff,5.2.0,undefined
alphagov/forms-product-page,https://github.com/alphagov/forms-product-page,5.4.0,2024-02-14T13:33:44Z
govuk-one-login/authentication-frontend,https://github.com/govuk-one-login/authentication-frontend,4.8.0,2024-02-06T12:12:02Z
alphagov/pay-tech-docs,https://github.com/alphagov/pay-tech-docs,3.14.0,N/A
DFID/devtracker-from-api,https://github.com/DFID/devtracker-from-api,3.10.2,N/A
DFE-Digital/bat-design-history,https://github.com/DFE-Digital/bat-design-history,5.4.0,2024-02-05T19:20:13Z
DFE-Digital/schools-experience,https://github.com/DFE-Digital/schools-experience,5.4.0,2024-04-09T08:24:51Z
uktrade/data-hub-frontend,https://github.com/uktrade/data-hub-frontend,5.4.0,2024-02-19T16:27:06Z
DEFRA/hapi-web-boilerplate,https://github.com/DEFRA/hapi-web-boilerplate,4.0.0,N/A
