Colour,Function,Used as,Used in,Concept
#1d70b8,,--govuk-brand-colour,:root,
#0b0c0c,,--govuk-text-colour,:root,
#f4f8fb,,--govuk-template-background-colour,:root,
#fff,,--govuk-body-background-colour,:root,
#000,,--govuk-print-text-colour,:root,
#484949,,--govuk-secondary-text-colour,:root,
#fd0,,--govuk-focus-colour,:root,
#0b0c0c,,--govuk-focus-text-colour,:root,
#ca3535,,--govuk-error-colour,:root,
#0f7a52,,--govuk-success-colour,:root,
#cecece,,--govuk-border-colour,:root,
#0b0c0c,,--govuk-input-border-colour,:root,
#cecece,,--govuk-hover-colour,:root,
#1a65a6,,--govuk-link-colour,:root,
#54319f,,--govuk-link-visited-colour,:root,
#0f385c,,--govuk-link-hover-colour,:root,
#0b0c0c,,--govuk-link-active-colour,:root,
#f4f8fb,,--govuk-surface-background-colour,:root,
#0b0c0c,,--govuk-surface-text-colour,:root,
#8eb8dc,,--govuk-surface-border-colour,:root,
#000,print-text,--govuk-text-colour,:root,
#fd0,focus,background-color,.govuk-link:focus,link
#fd0,focus,box-shadow,.govuk-link:focus,link
#0b0c0c,focus-text,box-shadow,.govuk-link:focus,link
#1a65a6,link,color,.govuk-link:link,link
#54319f,link-visited,color,.govuk-link:visited,link
#0f385c,link-hover,color,.govuk-link:hover,link
#0b0c0c,link-active,color,.govuk-link:active,link
#0b0c0c,focus-text,color,.govuk-link:focus,link
#484949,secondary-text,color,".govuk-link--muted:link,
.govuk-link--muted:visited",link--muted
#0b0c0c,text,color,".govuk-link--muted:active,
.govuk-link--muted:hover",link--muted
#0b0c0c,focus-text,color,.govuk-link--muted:focus,link--muted
#0b0c0c,text,color,".govuk-link--text-colour:active,
.govuk-link--text-colour:link,
.govuk-link--text-colour:visited",link--text-colour
#0b0c0c,focus-text,color,.govuk-link--text-colour:focus,link--text-colour
#fff,,color,".govuk-link--inverse:link,
.govuk-link--inverse:visited",link--inverse
#0b0c0c,focus-text,color,.govuk-link--inverse:focus,link--inverse
#1a65a6,link,color,".govuk-link--no-visited-state:link,
.govuk-link--no-visited-state:visited",link--no-visited-state
#0f385c,link-hover,color,.govuk-link--no-visited-state:hover,link--no-visited-state
#0b0c0c,link-active,color,.govuk-link--no-visited-state:active,link--no-visited-state
#0b0c0c,focus-text,color,.govuk-link--no-visited-state:focus,link--no-visited-state
#fd0,focus,box-shadow,.govuk-link-image:focus,link-image
#0b0c0c,focus-text,box-shadow,.govuk-link-image:focus,link-image
#0b0c0c,text,color,.govuk-heading-xl,heading-xl
#0b0c0c,text,color,.govuk-heading-l,heading-l
#0b0c0c,text,color,.govuk-heading-m,heading-m
#0b0c0c,text,color,.govuk-heading-s,heading-s
#484949,secondary-text,color,.govuk-caption-xl,caption-xl
#484949,secondary-text,color,.govuk-caption-l,caption-l
#484949,secondary-text,color,.govuk-caption-m,caption-m
#0b0c0c,text,color,".govuk-body-l,
.govuk-body-lead","body-l,"
#0b0c0c,text,color,".govuk-body,
.govuk-body-m","body,"
#0b0c0c,text,color,.govuk-body-s,body-s
#0b0c0c,text,color,.govuk-list,list
#cecece,border,border-bottom-color,.govuk-section-break--visible,section-break--visible
#ca3535,error,border-left-color,.govuk-form-group--error,form-group--error
#f4f8fb,template-background,background-color,.govuk-template,template
#fff,body-background,background-color,.govuk-template__body,template__body
#0b0c0c,text,color,.govuk-accordion__section-button,accordion__section-button
#cecece,border,border-bottom-color,.govuk-frontend-supported .govuk-accordion,frontend-supported
#1a65a6,link,color,.govuk-frontend-supported .govuk-accordion__show-all,frontend-supported
#0b0c0c,,color,.govuk-frontend-supported .govuk-accordion__show-all:hover,frontend-supported
#f3f3f3,,background,.govuk-frontend-supported .govuk-accordion__show-all:hover,frontend-supported
#f3f3f3,,box-shadow,.govuk-frontend-supported .govuk-accordion__show-all:hover,frontend-supported
